Creative ID,Platform,Format / Concept,Length,Spend,Thumbstop Rate,6s Hold Rate,CTR,Trial Starts,Paid Starts
C01,Meta,UGC problem/solution: Before I used this app I had 4 browser tabs open after every meeting,28s,4800,36%,24%,1.7%,267,59
C02,Meta,Static product screenshot: Capture every idea in one tap,15s,3200,25%,N/A,0.9%,133,35
C03,Meta,Founder talking head: Why we built this product,35s,2700,18%,11%,0.6%,54,12
C04,TikTok,Creator skit: POV your manager asks what was decided in the last meeting,23s,5100,45%,31%,2.4%,300,42
C05,TikTok,Screen-record demo: Turn a voice memo into a task list in 30 seconds,21s,4400,39%,27%,2.1%,338,71
C06,TikTok,AI explainer: Meet your AI productivity assistant,30s,3000,22%,15%,0.8%,64,9
C07,YouTube Shorts,Before/after: Messy meeting notes vs. clean AI summary,32s,4700,38%,22%,1.3%,235,63
C08,YouTube Shorts,Tutorial: 3 ways students use this app to stay organized,45s,3900,33%,29%,1.1%,112,13
C09,Meta,Creator testimonial: I imported 120 voice notes and found 18 action items,26s,5500,41%,26%,2.0%,306,67
C10,TikTok,Trend remix: Things I stopped doing after switching tools,18s,3800,50%,35%,1.9%,174,20
C11,Meta,Comparison ad: Old way vs. new way of taking notes,22s,4100,31%,20%,1.4%,189,44
C12,TikTok,Hook test: You're wasting 40 minutes per meeting (here's why),19s,4600,48%,33%,2.2%,312,55
C13,YouTube Shorts,Customer story: How a startup team cut meeting time in half,38s,3500,29%,18%,1.0%,98,21
C14,Meta,Product demo: From voice to action items in under a minute,25s,5200,37%,23%,1.6%,248,58
C15,TikTok,Relatable moment: When you forget everything from a 1-hour meeting,16s,4300,52%,38%,2.6%,355,48
C16,Meta,Static ad: Stop losing ideas between meetings,12s,2800,22%,N/A,0.8%,87,19
C17,YouTube Shorts,Explainer: How AI turns recordings into summaries,42s,3600,27%,16%,0.9%,76,10
C18,TikTok,POV skit: Your team finally has a single source of truth,20s,4900,44%,30%,2.3%,289,62
C19,Meta,UGC reaction: I ran this for my whole team and here is what happened,31s,5800,40%,25%,1.8%,298,70
C20,TikTok,Benefit stack: 5 things you get in the first week,17s,3700,46%,32%,2.0%,201,36
